name,group,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Singapore,Asia,4.10,3.90,3.80,3.60,3.40,3.10,2.90,2.60,2.50,2.30,2.30,2.30,2.30,2.20,2.2,2.2,2.2,2.2,2.2,2.2,2.1
Slovenia,Europe,6.20,5.80,5.40,5.20,4.80,4.50,4.30,4.10,3.90,3.70,3.50,3.30,3.20,3.00,2.8,2.7,2.6,2.4,2.3,2.2,2.1
South Africa,Africa,48.20,49.40,50.90,52.20,53.20,54.00,54.50,54.70,54.10,52.80,51.50,50.00,48.60,46.60,41.1,38.2,37.1,36.8,35.3,34.4,33.6
Spain,Europe,6.90,6.40,6.10,5.80,5.60,5.40,5.30,5.20,5.10,5.00,4.80,4.60,4.40,4.20,4.1,3.9,3.8,3.7,3.7,3.6,3.5
Sweden,Europe,4,3.8,3.6,3.5,3.4,3.4,3.4,3.3,3.2,3.1,3,2.8,2.7,2.6,2.5,2.5,2.4,2.4,2.4,2.4,2.4
Switzerland,Europe,5.20,5.00,4.90,4.80,4.70,4.60,4.70,4.60,4.40,4.40,4.30,4.20,4.10,4.00,3.9,3.9,3.8,3.7,3.6,3.5,3.4
Taiwan,Asia,7.00,7.00,7.00,7.00,7.00,7.00,6.00,6.00,5.00,6.00,5.00,,,,,,,,,,
Tanzania,Africa,95.8,93.8,91.4,88.2,84.5,80.3,75.9,71.4,67,62.7,58.7,55.2,51.5,48.3,45.6,42.4,40.4,38.8,37.6,36.2,35.2
Thailand,Asia,23.70,22.70,21.70,20.80,19.90,19.10,18.30,17.50,16.70,16.00,15.30,14.60,14.00,13.40,12.9,12.5,12,11.6,11.2,10.9,10.5
Trinidad and Tobago,North America,25.60,25.50,25.50,25.40,25.40,25.30,25.30,25.10,24.70,24.30,23.80,23.30,22.80,22.20,21.6,21,20.4,19.7,19.2,18.7,18.2
Tunisia,Africa,35.9,33.9,31.9,29.9,28.1,26.3,24.7,23.3,22,20.7,19.6,18.5,17.5,16.6,15.7,14.9,14.2,13.6,13.1,12.6,12.1
Turkey,Asia,43.10,40.80,38.50,36.30,34.20,32.10,30.20,28.30,26.50,24.80,23.20,21.70,20.20,18.90,17.6,16.4,15.3,14.2,13.2,12.3,11.6
Uganda,Africa,101.00,99.60,98.10,96.00,93.40,90.00,86.00,81.60,76.90,72.20,67.60,63.40,59.20,55.40,52.3,49.5,46.3,42.5,41.6,39.1,37.7
Ukraine,Europe,17.50,17.50,17.40,17.00,16.50,15.80,15.10,14.30,13.60,13.00,12.50,12.00,11.60,11.10,10.6,10.1,9.6,9.1,8.6,8.1,7.7
United Kingdom,Europe,6.10,5.90,5.80,5.80,5.70,5.60,5.40,5.30,5.30,5.20,5.10,5.00,4.90,4.70,4.6,4.4,4.2,4.1,3.9,3.7,3.5
United States,North America,8.00,7.70,7.50,7.30,7.20,7.10,7.00,6.90,6.80,6.90,6.80,6.70,6.60,6.50,6.4,6.3,6.1,6.1,5.9,5.7,5.6
Uruguay,South America,18.00,17.50,16.80,16.00,15.30,14.60,14.10,13.70,13.30,12.80,12.40,12.00,11.50,11.20,11,10.6,10.3,10,9.5,9.1,8.7
Uzbekistan,Asia,57.30,56.80,56.00,55.10,54.00,52.70,51.40,50.00,48.60,47.30,45.90,44.60,43.30,42.00,40.8,39.6,38.4,37.2,36.1,35,33.9
Venezuela,South America,22.1,21.5,20.8,20,20.2,18.5,17.9,17.4,16.9,16.4,15.9,15.4,15,14.7,14.5,14.3,14.1,13.8,13.5,13.2,12.9
Vietnam,Asia,30.9,29.9,28.9,27.9,27,26.1,25.3,24.6,23.9,23.2,22.6,22,21.4,20.8,20.3,19.8,19.3,18.8,18.3,17.8,17.3
Yemen,Asia,79.7,78.2,76.5,74.4,71.9,69,66.1,63,60.1,57.2,54.5,51.9,49.4,47,44.7,42.4,40.3,38.4,36.7,35.1,33.8
Zambia,Africa,107.80,106.10,104.60,103.10,100.90,97.60,92.70,86.50,80.00,73.90,68.70,64.90,61.30,58.70,55.6,52.9,51.1,49,46.5,44.7,43.3
Zimbabwe,Africa,60.1,61.6,62.7,63.3,63.5,63.5,63.2,62.7,61.9,61.5,61,60.3,59.9,58.9,57.7,55.8,54,49.4,48.8,47.6,46.6
